"TimeUS","Name","Value","Default","ap_time_s"
"3059985","INS_POS1_Z","0","0","3.059985"
"3059985","INS_POS2_X","0","0","3.059985"
"3059985","INS_POS2_Y","0","0","3.059985"
"3059985","INS_POS2_Z","0","0","3.059985"
"3059985","INS_POS3_X","0","0","3.059985"
"3059985","INS_POS3_Y","0","0","3.059985"
"3059985","INS_POS3_Z","0","0","3.059985"
"3059985","INS_GYR_ID","2752772","0","3.059985"
"3059985","INS_GYR2_ID","2752780","0","3.059985"
"3059985","INS_GYR3_ID","0","0","3.059985"
"3059985","INS_ACC_ID","2753028","0","3.059985"
"3059985","INS_ACC2_ID","2753036","0","3.059985"
"3059985","INS_ACC3_ID","0","0","3.059985"
"3059985","INS_FAST_SAMPLE","1","1","3.059985"
"3059985","INS_LOG_BAT_CNT","1024","1024","3.059985"
"3059985","INS_LOG_BAT_MASK","0","0","3.059985"
"3059985","INS_LOG_BAT_OPT","0","0","3.059985"
"3059985","INS_LOG_BAT_LGIN","20","20","3.059985"
"3059985","INS_LOG_BAT_LGCT","32","32","3.059985"
"3059985","INS_ENABLE_MASK","127","127","3.059985"
"3059985","INS_HNTCH_ENABLE","0","0","3.059985"
"3059985","INS_HNTC2_ENABLE","0","0","3.059985"
"3059985","INS_HNTC3_ENABLE","0","0","3.059985"
"3059985","INS_GYRO_RATE","0","0","3.059985"
"3059985","INS_TCAL1_ENABLE","0","0","3.059985"
"3059985","INS_TCAL2_ENABLE","0","0","3.059985"
"3059985","INS_TCAL3_ENABLE","0","0","3.059985"
"3059985","INS_ACC1_CALTEMP","-300","-300","3.059985"
"3059985","INS_GYR1_CALTEMP","-300","-300","3.059985"
"3059985","INS_ACC2_CALTEMP","-300","-300","3.059985"
"3059985","INS_GYR2_CALTEMP","-300","-300","3.059985"
"3059985","INS_ACC3_CALTEMP","-300","-300","3.059985"
"3059985","INS_GYR3_CALTEMP","-300","-300","3.059985"
"3059985","INS_TCAL_OPTIONS","0","0","3.059985"
"3059985","INS_RAW_LOG_OPT","0","0","3.059985"
"3059985","AHRS_GPS_GAIN","1","1","3.059985"
"3059985","AHRS_GPS_USE","1","1","3.059985"
"3059985","AHRS_YAW_P","0.2","0.2","3.059985"
"3059985","AHRS_RP_P","0.2","0.2","3.059985"
"3059985","AHRS_WIND_MAX","0","0","3.059985"
"3059985","AHRS_TRIM_X","0","0","3.059985"
"3059985","AHRS_TRIM_Y","0","0","3.059985"
"3059985","AHRS_TRIM_Z","0","0","3.059985"
"3059985","AHRS_ORIENTATION","0","0","3.059985"
"3059985","AHRS_COMP_BETA","0.1","0.1","3.059985"
"3059985","AHRS_GPS_MINSATS","6","6","3.059985"
"3059985","AHRS_EKF_TYPE","3","3","3.059985"
"3059985","AHRS_OPTIONS","0","0","3.059985"
"3059985","AHRS_ORIGIN_LAT","0","0","3.059985"
"3059985","AHRS_ORIGIN_LON","0","0","3.059985"
"3059985","AHRS_ORIGIN_ALT","0","0","3.059985"
"3059985","NAVL1_PERIOD","17","17","3.059985"
"3059985","NAVL1_DAMPING","0.75","0.75","3.059985"
"3059985","NAVL1_XTRACK_I","0.02","0.02","3.059985"
"3059985","NAVL1_LIM_BANK","0","0","3.059985"
"3059985","TECS_CLMB_MAX","3","3","3.059985"
"3059985","TECS_SINK_MIN","2","2","3.059985"
"3059985","TECS_TIME_CONST","9.895","9.895","3.059985"
"3059985","TECS_THR_DAMP","0.7905","0.7905","3.059985"
"3059985","TECS_INTEG_GAIN","0.2425","0.2425","3.059985"
"3059985","TECS_VERT_ACC","7","7","3.059985"
"3059985","TECS_HGT_OMEGA","3","3","3.059985"
"3059985","TECS_SPD_OMEGA","2","2","3.059985"
"3059985","TECS_RLL2THR","27.4595","27.4595","3.059985"
"3059985","TECS_SPDWEIGHT","1.4509","1.4509","3.059985"
"3059985","TECS_PTCH_DAMP","0.9518","0.9518","3.059985"
"3059985","TECS_SINK_MAX","3","3","3.059985"
"3059985","TECS_LAND_ARSPD","-1","-1","3.059985"
"3059985","TECS_LAND_THR","-1","-1","3.059985"
"3059985","TECS_LAND_SPDWGT","-1","-1","3.059985"
"3059985","TECS_PITCH_MAX","15","15","3.059985"
"3059985","TECS_PITCH_MIN","0","0","3.059985"
"3059985","TECS_LAND_SINK","0.25","0.25","3.059985"
"3059985","TECS_LAND_TCONST","2","2","3.059985"
"3059985","TECS_LAND_DAMP","0.5","0.5","3.059985"
